Memory,CPU,Total
13312,0.003999,1
13312,0.000000,5
13532,0.004000,10
13640,0.000000,15
13524,0.012011,20
13788,0.008022,25
13524,0.004002,30
13652,0.020052,35
13788,0.008012,40
13660,0.008016,45
13568,0.008011,50
13652,0.007999,25
13696, 0.000000, 10
13812, 0.012005, 10
13824, 0.015994, 10
13440, 0.003999, 10
13568, 0.032135, 10
13568, 0.027859, 10
13100, 0.009997, 10
14396, 0.052010, 100
14652, 0.032019, 80
14652, 0.024028, 70
14652, 0.032034, 60
14800, 0.044030, 64
14840, 0.052054, 72
